nr,name,status,return_type,param_count,param1,param2,param3,param4,param5,param6
0,restart_syscall,ok,long,0,,,,,,
1,exit,ok,long,1,int error_code,,,,,
2,fork,ok,long,0,,,,,,
3,read,ok,long,3,unsigned int fd,char * buf,size_t count,,,
4,write,ok,long,3,unsigned int fd,const char * buf,size_t count,,,
5,open,ok,long,3,const char * filename,int flags,umode_t mode,,,
6,close,ok,long,1,unsigned int fd,,,,,
7,wait4,ok,long,4,pid_t upid,int * stat_addr,int options,struct rusage * ru,,
8,creat,ok,long,2,const char * pathname,umode_t mode,,,,
9,link,ok,long,2,const char * oldname,const char * newname,,,,
10,unlink,ok,long,1,const char * pathname,,,,,
11,execv,missing,,,,,,,,
12,chdir,ok,long,1,const char * filename,,,,,
13,chown,ok,long,3,const char * filename,uid_t user,gid_t group,,,
14,mknod,ok,long,3,const char * filename,umode_t mode,unsigned dev,,,
15,chmod,ok,long,2,const char * filename,umode_t mode,,,,
16,lchown,ok,long,3,const char * filename,uid_t user,gid_t group,,,
17,brk,ok,long,1,unsigned long brk,,,,,
18,perfctr,ok,long,0,,,,,,
19,lseek,ok,long,3,unsigned int fd,off_t offset,unsigned int whence,,,
20,getpid,ok,long,0,,,,,,
21,capget,ok,long,2,cap_user_header_t header,cap_user_data_t dataptr,,,,
22,capset,ok,long,2,cap_user_header_t header,const cap_user_data_t data,,,,
23,setuid,ok,long,1,uid_t uid,,,,,
24,getuid,ok,long,0,,,,,,
25,vmsplice,ok,long,4,int fd,const struct iovec * uiov,unsigned long nr_segs,unsigned int flags,,
26,ptrace,ok,long,4,long request,long pid,unsigned long addr,unsigned long data,,
27,alarm,ok,long,1,unsigned int seconds,,,,,
28,sigaltstack,ok,long,2,const stack_t * uss,stack_t * uoss,,,,
29,pause,ok,long,0,,,,,,
30,utime,ok,long,2,char * filename,struct utimbuf * times,,,,
31,lchown32,ok,long,3,const char * filename,uid_t user,gid_t group,,,
32,fchown32,ok,long,3,unsigned int fd,uid_t user,gid_t group,,,
33,access,ok,long,2,const char * filename,int mode,,,,
34,nice,ok,long,1,int increment,,,,,
35,chown32,ok,long,3,const char * filename,uid_t user,gid_t group,,,
36,sync,ok,long,0,,,,,,
37,kill,ok,long,2,pid_t pid,int sig,,,,
38,stat,ok,long,2,const char * filename,struct __old_kernel_stat * statbuf,,,,
39,sendfile,ok,long,4,int out_fd,int in_fd,off_t * offset,size_t count,,
40,lstat,ok,long,2,const char * filename,struct __old_kernel_stat * statbuf,,,,
41,dup,ok,long,1,unsigned int fildes,,,,,
42,pipe,ok,long,1,int * fildes,,,,,
43,times,ok,long,1,struct tms * tbuf,,,,,
44,getuid32,ok,long,0,,,,,,
45,umount2,ok,long,2,char * name,int flags,,,,
46,setgid,ok,long,1,gid_t gid,,,,,
47,getgid,ok,long,0,,,,,,
48,signal,ok,long,2,int sig,__sighandler_t handler,,,,
49,geteuid,ok,long,0,,,,,,
50,getegid,ok,long,0,,,,,,
51,acct,ok,long,1,const char * name,,,,,
53,getgid32,ok,long,0,,,,,,
54,ioctl,ok,long,3,unsigned int fd,unsigned int cmd,unsigned long arg,,,
55,reboot,ok,long,4,int magic1,int magic2,unsigned int cmd,void * arg,,
56,mmap2,ok,long,6,unsigned long addr,unsigned long len,unsigned long prot,unsigned long flags,unsigned long fd,unsigned long pgoff
57,symlink,ok,long,2,const char * oldname,const char * newname,,,,
58,readlink,ok,long,3,const char * path,char * buf,int bufsiz,,,
59,execve,ok,long,3,const char * filename,const char * const * argv,const char * const * envp,,,
60,umask,ok,long,1,int mask,,,,,
61,chroot,ok,long,1,const char * filename,,,,,
62,fstat,ok,long,2,unsigned int fd,struct __old_kernel_stat * statbuf,,,,
63,fstat64,ok,long,2,unsigned long fd,struct stat64 * statbuf,,,,
64,getpagesize,ok,long,0,,,,,,
65,msync,ok,long,3,unsigned long start,size_t len,int flags,,,
66,vfork,ok,long,0,,,,,,
67,pread64,ok,long,4,unsigned int fd,char * buf,size_t count,loff_t pos,,
68,pwrite64,ok,long,4,unsigned int fd,const char * buf,size_t count,loff_t pos,,
69,geteuid32,ok,long,0,,,,,,
70,getegid32,ok,long,0,,,,,,
71,mmap,ok,long,6,unsigned long addr,unsigned long len,unsigned long prot,unsigned long flags,unsigned long fd,unsigned long off
72,setreuid32,ok,long,2,uid_t ruid,uid_t euid,,,,
73,munmap,ok,long,2,unsigned long addr,size_t len,,,,
74,mprotect,ok,long,3,unsigned long start,size_t len,unsigned long prot,,,
75,madvise,ok,long,3,unsigned long start,size_t len_in,int behavior,,,
76,vhangup,ok,long,0,,,,,,
77,truncate64,ok,long,2,const char * path,loff_t length,,,,
78,mincore,ok,long,3,unsigned long start,size_t len,unsigned char * vec,,,
79,getgroups,ok,long,2,int gidsetsize,gid_t * grouplist,,,,
80,setgroups,ok,long,2,int gidsetsize,gid_t * grouplist,,,,
81,getpgrp,ok,long,0,,,,,,
82,setgroups32,ok,long,2,int gidsetsize,gid_t * grouplist,,,,
83,setitimer,ok,long,3,int which,struct __kernel_old_itimerval * value,struct __kernel_old_itimerval * ovalue,,,
84,ftruncate64,ok,long,2,unsigned int fd,loff_t length,,,,
85,swapon,ok,long,2,const char * specialfile,int swap_flags,,,,
86,getitimer,ok,long,2,int which,struct __kernel_old_itimerval * value,,,,
87,setuid32,ok,long,1,uid_t uid,,,,,
88,sethostname,ok,long,2,char * name,int len,,,,
89,setgid32,ok,long,1,gid_t gid,,,,,
90,dup2,ok,long,2,unsigned int oldfd,unsigned int newfd,,,,
91,setfsuid32,ok,long,1,uid_t uid,,,,,
92,fcntl,ok,long,3,unsigned int fd,unsigned int cmd,unsigned long arg,,,
93,select,ok,long,5,int n,fd_set * inp,fd_set * outp,fd_set * exp,struct __kernel_old_timeval * tvp,
94,setfsgid32,ok,long,1,gid_t gid,,,,,
95,fsync,ok,long,1,unsigned int fd,,,,,
96,setpriority,ok,long,3,int which,int who,int niceval,,,
97,socket,ok,long,3,int family,int type,int protocol,,,
