nr,name,status,return_type,param_count,param1,param2,param3,param4,param5,param6
0,read,ok,long,3,unsigned int fd,char * buf,size_t count,,,
1,write,ok,long,3,unsigned int fd,const char * buf,size_t count,,,
2,open,ok,long,3,const char * filename,int flags,umode_t mode,,,
3,close,ok,long,1,unsigned int fd,,,,,
4,stat,ok,long,2,const char * filename,struct __old_kernel_stat * statbuf,,,,
5,fstat,ok,long,2,unsigned int fd,struct __old_kernel_stat * statbuf,,,,
6,lstat,ok,long,2,const char * filename,struct __old_kernel_stat * statbuf,,,,
7,poll,ok,long,3,struct pollfd * ufds,unsigned int nfds,int timeout_msecs,,,
8,lseek,ok,long,3,unsigned int fd,off_t offset,unsigned int whence,,,
9,mmap,missing,,,,,,,,
10,mprotect,ok,long,3,unsigned long start,size_t len,unsigned long prot,,,
11,munmap,ok,long,2,unsigned long addr,size_t len,,,,
12,brk,ok,long,1,unsigned long brk,,,,,
13,rt_sigaction,ok,long,4,int sig,const struct sigaction * act,struct sigaction * oact,size_t sigsetsize,,
14,rt_sigprocmask,ok,long,4,int how,sigset_t * nset,sigset_t * oset,size_t sigsetsize,,
15,ioctl,ok,long,3,unsigned int fd,unsigned int cmd,unsigned long arg,,,
16,pread64,ok,long,4,unsigned int fd,char * buf,size_t count,loff_t pos,,
17,pwrite64,ok,long,4,unsigned int fd,const char * buf,size_t count,loff_t pos,,
18,readv,ok,long,3,unsigned long fd,const struct iovec * vec,unsigned long vlen,,,
19,writev,ok,long,3,unsigned long fd,const struct iovec * vec,unsigned long vlen,,,
20,access,ok,long,2,const char * filename,int mode,,,,
21,pipe,ok,long,1,int * fildes,,,,,
22,_newselect,ok,long,5,int n,compat_ulong_t * inp,compat_ulong_t * outp,compat_ulong_t * exp,struct old_timeval32 * tvp,
23,sched_yield,ok,long,0,,,,,,
24,mremap,ok,long,5,unsigned long addr,unsigned long old_len,unsigned long new_len,unsigned long flags,unsigned long new_addr,
25,msync,ok,long,3,unsigned long start,size_t len,int flags,,,
26,mincore,ok,long,3,unsigned long start,size_t len,unsigned char * vec,,,
27,madvise,ok,long,3,unsigned long start,size_t len_in,int behavior,,,
28,shmget,ok,long,3,key_t key,size_t size,int shmflg,,,
29,shmat,ok,long,3,int shmid,char * shmaddr,int shmflg,,,
30,shmctl,ok,long,3,int shmid,int cmd,struct shmid_ds * buf,,,
31,dup,ok,long,1,unsigned int fildes,,,,,
32,dup2,ok,long,2,unsigned int oldfd,unsigned int newfd,,,,
33,pause,ok,long,0,,,,,,
34,nanosleep,ok,long,2,struct __kernel_timespec * rqtp,struct __kernel_timespec * rmtp,,,,
35,getitimer,ok,long,2,int which,struct __kernel_old_itimerval * value,,,,
36,setitimer,ok,long,3,int which,struct __kernel_old_itimerval * value,struct __kernel_old_itimerval * ovalue,,,
37,alarm,ok,long,1,unsigned int seconds,,,,,
38,getpid,ok,long,0,,,,,,
39,sendfile,ok,long,4,int out_fd,int in_fd,off_t * offset,size_t count,,
40,socket,ok,long,3,int family,int type,int protocol,,,
41,connect,ok,long,3,int fd,struct sockaddr * uservaddr,int addrlen,,,
42,accept,ok,long,3,int fd,struct sockaddr * upeer_sockaddr,int * upeer_addrlen,,,
43,sendto,ok,long,6,int fd,void * buff,size_t len,unsigned int flags,struct sockaddr * addr,int addr_len
44,recvfrom,ok,long,6,int fd,void * ubuf,size_t size,unsigned int flags,struct sockaddr * addr,int * addr_len
45,sendmsg,ok,long,3,int fd,struct user_msghdr * msg,unsigned int flags,,,
46,recvmsg,ok,long,3,int fd,struct user_msghdr * msg,unsigned int flags,,,
47,shutdown,ok,long,2,int fd,int how,,,,
48,bind,ok,long,3,int fd,struct sockaddr * umyaddr,int addrlen,,,
49,listen,ok,long,2,int fd,int backlog,,,,
50,getsockname,ok,long,3,int fd,struct sockaddr * usockaddr,int * usockaddr_len,,,
51,getpeername,ok,long,3,int fd,struct sockaddr * usockaddr,int * usockaddr_len,,,
52,socketpair,ok,long,4,int family,int type,int protocol,int * usockvec,,
53,setsockopt,ok,long,5,int fd,int level,int optname,char * optval,int optlen,
54,getsockopt,ok,long,5,int fd,int level,int optname,char * optval,int * optlen,
55,clone,ok,long,5,unsigned long clone_flags,unsigned long newsp,int * parent_tidptr,unsigned long tls,int * child_tidptr,
56,fork,ok,long,0,,,,,,
57,execve,ok,long,3,const char * filename,const char * const * argv,const char * const * envp,,,
58,exit,ok,long,1,int error_code,,,,,
59,wait4,ok,long,4,pid_t upid,int * stat_addr,int options,struct rusage * ru,,
60,kill,ok,long,2,pid_t pid,int sig,,,,
61,uname,ok,long,1,struct old_utsname * name,,,,,
62,semget,ok,long,3,key_t key,int nsems,int semflg,,,
63,semop,ok,long,3,int semid,struct sembuf * tsops,unsigned nsops,,,
64,semctl,ok,long,4,int semid,int semnum,int cmd,unsigned long arg,,
65,shmdt,ok,long,1,char * shmaddr,,,,,
66,msgget,ok,long,2,key_t key,int msgflg,,,,
67,msgsnd,ok,long,4,int msqid,struct msgbuf * msgp,size_t msgsz,int msgflg,,
68,msgrcv,ok,long,5,int msqid,struct msgbuf * msgp,size_t msgsz,long msgtyp,int msgflg,
69,msgctl,ok,long,3,int msqid,int cmd,struct msqid_ds * buf,,,
70,fcntl,ok,long,3,unsigned int fd,unsigned int cmd,unsigned long arg,,,
71,flock,ok,long,2,unsigned int fd,unsigned int cmd,,,,
72,fsync,ok,long,1,unsigned int fd,,,,,
73,fdatasync,ok,long,1,unsigned int fd,,,,,
74,truncate,ok,long,2,const char * path,long length,,,,
75,ftruncate,ok,long,2,unsigned int fd,unsigned long length,,,,
76,getdents,ok,long,3,unsigned int fd,struct linux_dirent * dirent,unsigned int count,,,
77,getcwd,ok,long,2,char * buf,unsigned long size,,,,
78,chdir,ok,long,1,const char * filename,,,,,
79,fchdir,ok,long,1,unsigned int fd,,,,,
80,rename,ok,long,2,const char * oldname,const char * newname,,,,
81,mkdir,ok,long,2,const char * pathname,umode_t mode,,,,
82,rmdir,ok,long,1,const char * pathname,,,,,
83,creat,ok,long,2,const char * pathname,umode_t mode,,,,
84,link,ok,long,2,const char * oldname,const char * newname,,,,
85,unlink,ok,long,1,const char * pathname,,,,,
86,symlink,ok,long,2,const char * oldname,const char * newname,,,,
87,readlink,ok,long,3,const char * path,char * buf,int bufsiz,,,
88,chmod,ok,long,2,const char * filename,umode_t mode,,,,
89,fchmod,ok,long,2,unsigned int fd,umode_t mode,,,,
90,chown,ok,long,3,const char * filename,uid_t user,gid_t group,,,
91,fchown,ok,long,3,unsigned int fd,uid_t user,gid_t group,,,
92,lchown,ok,long,3,const char * filename,uid_t user,gid_t group,,,
93,umask,ok,long,1,int mask,,,,,
94,gettimeofday,ok,long,2,struct __kernel_old_timeval * tv,struct timezone * tz,,,,
95,getrlimit,ok,long,2,unsigned int resource,struct rlimit * rlim,,,,
96,getrusage,ok,long,2,int who,struct rusage * ru,,,,
97,sysinfo,ok,long,1,struct sysinfo * info,,,,,
98,times,ok,long,1,struct tms * tbuf,,,,,
99,ptrace,ok,long,4,long request,long pid,unsigned long addr,unsigned long data,,
100,getuid,ok,long,0,,,,,,
101,syslog,ok,long,3,int type,char * buf,int len,,,
102,getgid,ok,long,0,,,,,,
103,setuid,ok,long,1,uid_t uid,,,,,
104,setgid,ok,long,1,gid_t gid,,,,,
105,geteuid,ok,long,0,,,,,,
106,getegid,ok,long,0,,,,,,
107,setpgid,ok,long,2,pid_t pid,pid_t pgid,,,,
108,getppid,ok,long,0,,,,,,
109,getpgrp,ok,long,0,,,,,,
110,setsid,ok,long,0,,,,,,
111,setreuid,ok,long,2,uid_t ruid,uid_t euid,,,,
112,setregid,ok,long,2,gid_t rgid,gid_t egid,,,,
113,getgroups,ok,long,2,int gidsetsize,gid_t * grouplist,,,,
114,setgroups,ok,long,2,int gidsetsize,gid_t * grouplist,,,,
115,setresuid,ok,long,3,uid_t ruid,uid_t euid,uid_t suid,,,
116,getresuid,ok,long,3,uid_t * ruidp,uid_t * euidp,uid_t * suidp,,,
117,setresgid,ok,long,3,gid_t rgid,gid_t egid,gid_t sgid,,,
118,getresgid,ok,long,3,gid_t * rgidp,gid_t * egidp,gid_t * sgidp,,,
119,getpgid,ok,long,1,pid_t pid,,,,,
120,setfsuid,ok,long,1,uid_t uid,,,,,
121,setfsgid,ok,long,1,gid_t gid,,,,,
122,getsid,ok,long,1,pid_t pid,,,,,
123,capget,ok,long,2,cap_user_header_t header,cap_user_data_t dataptr,,,,
124,capset,ok,long,2,cap_user_header_t header,const cap_user_data_t data,,,,
125,rt_sigpending,ok,long,2,sigset_t * uset,size_t sigsetsize,,,,
126,rt_sigtimedwait,ok,long,4,const sigset_t * uthese,siginfo_t * uinfo,const struct __kernel_timespec * uts,size_t sigsetsize,,
127,rt_sigqueueinfo,ok,long,3,pid_t pid,int sig,siginfo_t * uinfo,,,
128,rt_sigsuspend,ok,long,2,sigset_t * unewset,size_t sigsetsize,,,,
129,sigaltstack,ok,long,2,const stack_t * uss,stack_t * uoss,,,,
130,utime,ok,long,2,char * filename,struct utimbuf * times,,,,
131,mknod,ok,long,3,const char * filename,umode_t mode,unsigned dev,,,
132,personality,ok,long,1,unsigned int personality,,,,,
133,ustat,ok,long,2,unsigned dev,struct ustat * ubuf,,,,
134,statfs,ok,long,2,const char * pathname,struct statfs * buf,,,,
135,fstatfs,ok,long,2,unsigned int fd,struct statfs * buf,,,,
136,sysfs,ok,long,3,int option,unsigned long arg1,unsigned long arg2,,,
137,getpriority,ok,long,2,int which,int who,,,,
138,setpriority,ok,long,3,int which,int who,int niceval,,,
139,sched_setparam,ok,long,2,pid_t pid,struct sched_param * param,,,,
140,sched_getparam,ok,long,2,pid_t pid,struct sched_param * param,,,,
141,sched_setscheduler,ok,long,3,pid_t pid,int policy,struct sched_param * param,,,
142,sched_getscheduler,ok,long,1,pid_t pid,,,,,
143,sched_get_priority_max,ok,long,1,int policy,,,,,
144,sched_get_priority_min,ok,long,1,int policy,,,,,
145,sched_rr_get_interval,ok,long,2,pid_t pid,struct __kernel_timespec * interval,,,,
146,mlock,ok,long,2,unsigned long start,size_t len,,,,
147,munlock,ok,long,2,unsigned long start,size_t len,,,,
148,mlockall,ok,long,1,int flags,,,,,
149,munlockall,ok,long,0,,,,,,
150,vhangup,ok,long,0,,,,,,
151,pivot_root,ok,long,2,const char * new_root,const char * put_old,,,,
152,_sysctl,notimp,,,,,,,,
153,prctl,ok,long,5,int option,unsigned long arg2,unsigned long arg3,unsigned long arg4,unsigned long arg5,
154,adjtimex,ok,long,1,struct __kernel_timex * txc_p,,,,,
155,setrlimit,ok,long,2,unsigned int resource,struct rlimit * rlim,,,,
156,chroot,ok,long,1,const char * filename,,,,,
157,sync,ok,long,0,,,,,,
158,acct,ok,long,1,const char * name,,,,,
159,settimeofday,ok,long,2,struct __kernel_old_timeval * tv,struct timezone * tz,,,,
160,mount,ok,long,5,char * dev_name,char * dir_name,char * type,unsigned long flags,void * data,
161,umount2,ok,long,2,char * name,int flags,,,,
162,swapon,ok,long,2,const char * specialfile,int swap_flags,,,,
163,swapoff,ok,long,1,const char * specialfile,,,,,
164,reboot,ok,long,4,int magic1,int magic2,unsigned int cmd,void * arg,,
165,sethostname,ok,long,2,char * name,int len,,,,
166,setdomainname,ok,long,2,char * name,int len,,,,
167,create_module,notimp,,,,,,,,
168,init_module,ok,long,3,void * umod,unsigned long len,const char * uargs,,,
169,delete_module,ok,long,2,const char * name_user,unsigned int flags,,,,
170,get_kernel_syms,notimp,,,,,,,,
171,query_module,notimp,,,,,,,,
172,quotactl,ok,long,4,unsigned int cmd,const char * special,qid_t id,void * addr,,
173,nfsservctl,notimp,,,,,,,,
